;Ulli Nissen;Oliver Kaczmarek;K. Göring-Eckardt;Doris Wagner;Katrin Albsteiger;Dr. Thomas Feist;Metin Hakverdi;Steffen-C. Lemme;Stefan Rebmann;Christine Buchholz;Katharina Dröge;SPDTeam für Nürnberg;Lothar Binding;Peter Tauber;Susann Rüthrich;Gabi Weber;Frank Heinrich;Christian Lange;Ekin Deligöz;Andreas Rimkus;brigitte zypries;AMattfeldt;Philipp Mißfelder;Bettina Hornhues;Gudrun Zollner;Monika Lazar;Achim Post;Niema Movassat;Dennis Rohde;Kordula Schulz-Asche;Beate W.-Rosenheimer;Christian Petry;Jens Zimmermann;Ernst D.Rossmann;Patrick Sensburg;Ronja Schmitt;Angelika Glöckner;Rita Schwarzelühr-S.;Dr. Michael Meister;Bettina Kudla;Sven Kindler;Florian Post;Petra Sitte;Michael Groß;Hermann Gröhe;Nicole Maisch;Xaver Jung;Sebastian Hartmann;Jens Koeppen;Thomas Gebhart MdB;Heribert Hirte;Stefan Müller;Peter Altmaier;Dr. Matthias Heider;Nina ;Thomas Hitschler;Ulla Jelpke;Petra Ernstberger;SteffiLemke;Günter Krings;Kerstin Andreae;Gabriele Hiller-Ohm;Tom Koenigs;Brigitte Pothmer;Lisa Paus;Dietmar Bartsch;Tabea Rößner;Peer Steinbrück;Andrea Lindholz;Jens Spahn;Elke Ferner;Franziska Brantner;Renate Künast;Özcan Mutlu;Marieluise Beck;Sahra Wagenknecht;Halina Wawzyniak;Aydan Özoguz;Christian Hirte ;Harald Petzold;Stefan Liebich;Michael Kretschmer;Markus Kurth;Thomas Nord;Manuel Sarrazin;Patrick Schnieder;Kerstin Griese;Norbert Spinrath;Mahmut Özdemir;Dr. Edgar Franke;Kai Wegner;Dr. Michael Fuchs;Maria Klein-Schmeink;Saskia Esken;Dr. Frank Steffel;Bettina Mueller;Harald Terpe + Team;Bärbel Höhn;Volker Beck;Sönke Rix MdB;Sigmar Gabriel;Carsten Schneider;Alexander Radwan;Cansel Kiziltepe;Michael Thews (MdB);Helmut Nowak;B. Malecha-Nissen;Erwin Rüddel;Hartmut Koschyk;Manfred Behrens, CDU;Maik Beermann;Hilde Mattheis;Michaela Engelmeier;Martin Rabanus;Annette Sawade;Manuela Schwesig;Dr. Rosemarie Hein;Gesine Lötzsch;Bernd Fabritius, MdB;Nadine Schön;Roderich Kiesewetter;Herbert Behrens;Julia Verlinden;Britta Haßelmann;Rüdiger Kruse;Christina Kampmann;Andrej Hunko;Franz Josef Jung;Kai Gehring ;Stephan Kühn;Florian Hahn;Sören Bartol;Stephan Harbarth;Arno Klare;Anja Weisgerber;Frank Schwabe;Evers-Meyer;Julia Obermeier;Gregor Gysi;Mechthild Heil;Lars Castellucci;Sebastian Steineke;Valerie Wilms;Michael Roth MdB;Ingbert Liebing;Axel Fischer;M. Grosse-Brömer;Christian Flisek;Bernhard Kaster;Manfred Grund;W. Strengmann-Kuhn;Dr. Eva Högl, MdB;Swen Schulz;Johannes Singhammer;Stefan Kaufmann;Armin Schuster;Gabriele Katzmarek;René Röspel;Dagmar Schmidt;Marco Bülow;Sabine Leidig;Dorothee Bär;Christoph Strässer;Ulle Schauws;Matthias Hauer;Ute Vogt;Jan Metzler;Wilhelm Priesmeier;Christian v. Stetten;Dagmar Ziegler, MdB;Katja Leikert;Gerold Reichenbach;Ulrich Kelber;Konstantin v. Notz;Jutta Krellmann;Sibylle Pfeiffer;Philipp Lengsfeld;Hans-Joachim Fuchtel;Karin Binder;Uwe Schummer;Kerstin Tack;Daniela Kolbe;Dr. Helge Braun;Matthias Ilgen;Uwe Kekeritz;Marcus Weinberg;Starke Regionen;Dr. Tobias Lindner;Caren Lay;Ralph Brinkhaus;Hiltrud Lotze;Petra Pau;Tankred Schipanski;Jürgen Trittin;Bernd Siebert MdB;Florian Pronold;Omid Nouripour ;Detlev Pilger;Klaus Ernst;Dr. Karamba Diaby;Alexander S. Neu MdB;SvenVolmering;Diether Dehm;Thomas Jarzombek;Michael Leutert;Dr. Martin Rosemann;matthias zimmer;Dagmar Wöhrl;Georg Nüßlein;Niels Annen;Sylvia Kotting-Uhl;Christina Schwarzer;Katrin Werner;Burkhard Lischka;Jürgen Hardt MdB;Rawert;Marlene Mortler;Luise Amtsberg;Thomas Oppermann;Thorsten Hoffmann;Annalena Baerbock;Heiko Maas;Steffen Bilger;Oliver Krischer;Charles M. Huber;Olav Gutting;Martina Renner;Johannes Kahrs;Beate Müller-Gemmeke;Dr. Jan-Marco Luczak;Rainer Arnold;Johannes Steiniger;Gisela Manderla MdB;Katja Kipping;Herlind Gundelach;Volkmar Klein;Stefan Zierke;Sylvia Pantel, MdB;Dieter Janecek;Katja Dörner;Lars Klingbeil;Kathrin Vogler;Matthias W. Birkwald;Harald Ebner;Waltraud Wolff, MdB;Hubertus Heil;Heike Hänsel;Dr. Andreas Nick;Corinna Rüffer;Irene Mihalic;Kristina Schröder;Christian Ströbele;Eckhardt Rehberg;Mark Hauptmann;Andreas Schwarz;Bärbel Bas;Ingo Wellenreuther ;Jürgen Klimke MdB;Marco Wanderwitz;Volker Ullrich;Erika Steinbach
Volker Beck;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;1.0;1.0;0;0;1.0;1.0;0;1.0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;0
Sönke Rix MdB;1.0;1.0;0;0;0;0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;0;0;0;1.0;1.0;0;1.0;0;0;1.0;1.0;1.0;0;0;0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;1.0;0;1.0;0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0;1.0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;1.0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;1.0;0;0;0;1.0;1.0;0;1.0;0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;0;1.0;0;0;0;1.0;0;1.0;0;1.0;0;1.0;0;0;0;1.0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;1.0;0;0;1.0;0;0;1.0;0;0;1.0;1.0;0;0;0;1.0;1.0;0;0;0;1.0;1.0;0;0;0;1.0;1.0;0;0;0;0;0
Sigmar Gabriel;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
Carsten Schneider;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0
Alexander Radwan;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0
Cansel Kiziltepe;0;1.0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;1.0;0;0;1.0;0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;1.0;0;0;0;0;0
Michael Thews (MdB);1.0;1.0;1.0;0;0;0;0;1.0;1.0;0;0;0;1.0;0;0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;0;0;0;1.0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;1.0;0;0;1.0;1.0;0;0;0;0;0;1.0;1.0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;1.0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;0;0;1.0;0;0;0;1.0;1.0;0;0;0;0;1.0;1.0;1.0;0;0;1.0;0;0;1.0;0;1.0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
Helmut Nowak;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0
B. Malecha-Nissen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erwin Rüddel;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0
Hartmut Koschyk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manfred Behrens, CDU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maik Beermann;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0
Hilde Mattheis;1.0;1.0;1.0;0;0;0;0;1.0;1.0;0;0;0;1.0;0;0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;1.0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;1.0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;1.0;0;1.0;0;0;1.0;1.0;1.0;1.0;0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;1.0;1.0;0;0;0;1.0;1.0;0;1.0;0;0;1.0;0;0;1.0;0;0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
Michaela Engelmeier;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;0;0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;1.0;0;0;0;0;1.0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;0;0;0;0;1.0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;0;0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;0;0;1.0;0;0;1.0;0;1.0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;0;1.0;0;1.0;0;0;0;1.0;0;1.0;0;1.0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;1.0;0;0;1.0;1.0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;1.0;1.0;1.0;0;0;0;0
Martin Rabanus;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;0;0;1.0;1.0;0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Annette Sawade;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;1.0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
